Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OK,2022,12,Female,17,Right-Handed,173,24,60,1,Car,10,0.4,37,Baseball/Softball,65,95,100,90,45,100,24,Same length,76.2,76.2,Same length,August,Summer,No,No,Desserts,Energy drink,Science,7,10,4,Yes - broadband connection,Cell phone,50,45,82,4,2,12,48,0,48,5,36,24,0,0,A lot,Other,Country,Fly,Happy,Relative,Health
USA,OK,2022,12,Female,17,Right-Handed,152,22,160,1,Car,20,0.721,52,Soccer,900,800,100,200,300,900,22,Same length,44,46,Ring finger,July,Fall,Yes,No,Poultry,Water,Physical education,7,8,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",3,4,12,13,5,4,14,0,14,12,11,2,20,1,Very little,Graduate degree,Other,Super strength,Happy,Coach or club leader,"Wildlife, animals"
USA,OK,2022,12,Female,18,Right-Handed,180,26,170,1,Car,30,0.318,41,None,1000,500,1000,800,700,950,26,Same length,75,80,Ring finger,March,Fall,No,No,Desserts,Water,English,5,6,5,Yes - broadband connection,In person,10,25,21,0,12,35,0,0,42,10,56,7,25,20,A lot,Graduate degree,Other,Invisibility,Famous,Other,Environment
USA,OK,2022,12,Female,17,Left-Handed,160,22,157,1,Car,25,0.614,44,Swimming,310,155,112,203,353,487,22,Same length,69,69,Same length,September,Summer,No,No,Fruit,Water,English,8,6,8,Yes - broadband connection,Internet chat or instant messaging,50,50,4,1,4,12,14,0,4,3,8,2,35,14,Some,Graduate degree,Country,Fly,Happy,Relative,Religious
USA,OK,2022,12,Male,16,Right-Handed,180,44,200,1,Car,20,0.31,57,Soccer,750,750,750,750,750,1000,44,Same length,76.2,76.2,Same length,July,Fall,No,No,No favorite,Water,Physical education,6,6,4,Yes - broadband connection,In person,7,7,8,4,1,12,29,4,0,47,100,0,10,6,Some,Graduate degree,Other,Telepathy,Happy,Sports person,"Wildlife, animals"
USA,OK,2022,12,Male,17,Right-Handed,183,17,160,1,Car,23,0.498,45,None,857,430,413,612,1000,1000,25,Same length,114,144,Same length,March,Fall,No,No,Meat,Water,Other,5,9,5,Yes - broadband connection,Internet chat or instant messaging,200,200,45,45,0,5,0,70,10,100,120,20,0,1,Very little,Other,Techno/Electronic,Freeze time,Happy,Other,Religious
USA,OK,2022,12,Female,17,Left-Handed,165,27,152,1,Car,20,0.754,40,Other,1000,1000,800,900,700,500,28,Left foot,70,76,Index finger,September,Fall,Yes,No,Seafood,Soft drink (non-caffeinated),Other,7,8,2,Yes - broadband connection,In person,45,35,20,5,3,6,1,10,25,7,20,10,32,1,A lot,Other,Rock and roll,Invisibility,Happy,Other,"Wildlife, animals"
USA,OK,2022,12,Female,17,Left-Handed,165,27,152,1,Car,20,0.754,40,Other,1000,1000,800,900,700,500,28,Left foot,70,76,Index finger,September,Fall,Yes,No,Seafood,Soft drink (non-caffeinated),Other,7,8,2,Yes - broadband connection,In person,45,35,20,5,3,6,1,10,25,7,20,10,32,1,A lot,Other,Rock and roll,Invisibility,Happy,Other,"Wildlife, animals"
USA,OK,2022,12,Male,17,Ambidextrous,175,28,170,1,Car,25,0.425,39,Basketball,500,500,500,500,500,500,28,Same length,40,50,Ring finger,June,Summer,No,No,Other,Water,Other,8,10,4,Yes - broadband connection,Internet chat or instant messaging,50,100,7,7,0,7,8,8,8,5,5,4,0,4,None,Some college,Classical,Freeze time,Rich,Sports person,Other
USA,NC,2022,10,Female,16,Right-Handed,168,21,165,1,Car,7,0.327,40,Dancing,1000,1000,1000,1000,500,1000,21,Same length,70,70,Same length,February,Spring,No,No,No favorite,Water,English,7,8,4,Yes - other,In person,25,400,35,5,5,140,60,50,100,90,90,55,0,40,Some,Graduate degree,Gospel,Fly,Happy,Actor,International aid
